r10_region,region_label,technology,technology_label,lot_n_bins,hit_n_bins,lot_mean_cf,hit_mean_cf,lot_top_bin_cf,hit_top_bin_cf,hit_top_vs_lot_mean
R10AFRICA,Africa,solar,Solar PV,6,72,0.2435,0.2304,0.2783,0.2873,1.18
R10AFRICA,Africa,wind_onshore,Wind onshore,6,62,0.2966,0.2553,0.3426,0.4276,1.442
R10AFRICA,Africa,wind_offshore,Wind offshore,4,25,0.2904,0.3006,0.4164,0.5389,1.856
R10CHINA+,China+,solar,Solar PV,5,44,0.1976,0.203,0.2462,0.2631,1.331
R10CHINA+,China+,wind_onshore,Wind onshore,5,39,0.2169,0.202,0.2829,0.3768,1.737
R10CHINA+,China+,wind_offshore,Wind offshore,3,18,0.4367,0.4191,0.4784,0.5835,1.336
R10EUROPE,Europe,solar,Solar PV,4,36,0.1721,0.1685,0.227,0.244,1.417
R10EUROPE,Europe,wind_onshore,Wind onshore,4,34,0.2424,0.2245,0.3229,0.4505,1.859
R10EUROPE,Europe,wind_offshore,Wind offshore,4,29,0.3856,0.418,0.5294,0.6056,1.57
R10INDIA+,India+,solar,Solar PV,4,32,0.2164,0.2177,0.2475,0.277,1.28
R10INDIA+,India+,wind_onshore,Wind onshore,4,27,0.183,0.1756,0.2194,0.4411,2.411
R10INDIA+,India+,wind_offshore,Wind offshore,3,12,0.2898,0.2898,0.3224,0.4283,1.478
R10LATIN_AM,Latin America,solar,Solar PV,5,53,0.2127,0.2037,0.2497,0.2818,1.325
R10LATIN_AM,Latin America,wind_onshore,Wind onshore,5,40,0.2723,0.2295,0.412,0.641,2.354
R10LATIN_AM,Latin America,wind_offshore,Wind offshore,4,28,0.3763,0.3501,0.532,0.6869,1.825
R10MIDDLE_EAST,Middle East,solar,Solar PV,4,33,0.2655,0.2605,0.2692,0.2805,1.056
R10MIDDLE_EAST,Middle East,wind_onshore,Wind onshore,4,31,0.228,0.2287,0.2971,0.3547,1.556
R10MIDDLE_EAST,Middle East,wind_offshore,Wind offshore,3,12,0.3274,0.3004,0.3897,0.4519,1.38
R10NORTH_AM,North America,solar,Solar PV,5,52,0.2025,0.192,0.2659,0.2868,1.416
R10NORTH_AM,North America,wind_onshore,Wind onshore,5,50,0.2328,0.2736,0.3884,0.4992,2.145
R10NORTH_AM,North America,wind_offshore,Wind offshore,4,34,0.4161,0.4087,0.5284,0.6474,1.556
R10PAC_OECD,Pacific OECD,solar,Solar PV,4,33,0.2137,0.2099,0.2402,0.2468,1.155
R10PAC_OECD,Pacific OECD,wind_onshore,Wind onshore,4,33,0.3256,0.3075,0.3884,0.4383,1.346
R10PAC_OECD,Pacific OECD,wind_offshore,Wind offshore,4,27,0.4318,0.428,0.5183,0.7335,1.698
R10REF_ECON,Reforming Economies,solar,Solar PV,5,48,0.1672,0.1691,0.2035,0.2324,1.39
R10REF_ECON,Reforming Economies,wind_onshore,Wind onshore,5,46,0.3261,0.2579,0.3713,0.4148,1.272
R10REF_ECON,Reforming Economies,wind_offshore,Wind offshore,4,23,0.4339,0.4189,0.4696,0.5096,1.175
R10REST_ASIA,Rest of Asia,solar,Solar PV,5,37,0.1789,0.1817,0.1972,0.2066,1.155
R10REST_ASIA,Rest of Asia,wind_onshore,Wind onshore,4,23,0.1656,0.1587,0.1978,0.2493,1.505
R10REST_ASIA,Rest of Asia,wind_offshore,Wind offshore,3,22,0.3009,0.2959,0.3422,0.4878,1.621
